2021-05-07 09:51:28 status installed libpsl5:amd64 0.20.2-2
2021-05-07 09:51:28 configure apt-transport-https:all 1.8.2.3 <none>
2021-05-07 09:51:28 status unpacked apt-transport-https:all 1.8.2.3
2021-05-07 09:51:28 status half-configured apt-transport-https:all 1.8.2.3
2021-05-07 09:51:28 status installed apt-transport-https:all 1.8.2.3
2021-05-07 09:51:28 configure libssl1.1:amd64 1.1.1d-0+deb10u6 <none>
2021-05-07 09:51:28 status unpacked libssl1.1:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 status half-configured libssl1.1:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 status installed libssl1.1:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 configure libsqlite3-0:amd64 3.27.2-3+deb10u1 <none>
2021-05-07 09:51:28 status unpacked libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-05-07 09:51:28 status half-configured libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-05-07 09:51:28 status installed libsqlite3-0:amd64 3.27.2-3+deb10u1
2021-05-07 09:51:28 configure libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-05-07 09:51:28 status unpacked libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status half-configured libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status installed libsasl2-modules:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 configure libnpth0:amd64 1.6-1 <none>
2021-05-07 09:51:28 status unpacked libnpth0:amd64 1.6-1
2021-05-07 09:51:28 status half-configured libnpth0:amd64 1.6-1
2021-05-07 09:51:28 status installed libnpth0:amd64 1.6-1
2021-05-07 09:51:28 configure libassuan0:amd64 2.5.2-1 <none>
2021-05-07 09:51:28 status unpacked libassuan0:amd64 2.5.2-1
2021-05-07 09:51:28 status half-configured libassuan0:amd64 2.5.2-1
2021-05-07 09:51:28 status installed libassuan0:amd64 2.5.2-1
2021-05-07 09:51:28 configure libldap-common:all 2.4.47+dfsg-3+deb10u6 <none>
2021-05-07 09:51:28 status unpacked libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 status half-configured libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 status installed libldap-common:all 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 configure libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-05-07 09:51:28 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 configure gnupg-l10n:all 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:28 status unpacked gnupg-l10n:all 2.2.12-1+deb10u1
2021-05-07 09:51:28 status half-configured gnupg-l10n:all 2.2.12-1+deb10u1
2021-05-07 09:51:28 status installed gnupg-l10n:all 2.2.12-1+deb10u1
2021-05-07 09:51:28 configure libpcre2-8-0:amd64 10.32-5 <none>
2021-05-07 09:51:28 status unpacked libpcre2-8-0:amd64 10.32-5
2021-05-07 09:51:28 status half-configured libpcre2-8-0:amd64 10.32-5
2021-05-07 09:51:28 status installed libpcre2-8-0:amd64 10.32-5
2021-05-07 09:51:28 configure libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1 <none>
2021-05-07 09:51:28 status unpacked libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status half-configured libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 status installed libsasl2-2:amd64 2.1.27+dfsg-1+deb10u1
2021-05-07 09:51:28 configure openssl:amd64 1.1.1d-0+deb10u6 <none>
2021-05-07 09:51:28 status unpacked openssl:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 status half-configured openssl:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 status installed openssl:amd64 1.1.1d-0+deb10u6
2021-05-07 09:51:28 configure readline-common:all 7.0-5 <none>
2021-05-07 09:51:28 status unpacked readline-common:all 7.0-5
2021-05-07 09:51:28 status half-configured readline-common:all 7.0-5
2021-05-07 09:51:28 status installed readline-common:all 7.0-5
2021-05-07 09:51:28 configure publicsuffix:all 20190415.1030-1 <none>
2021-05-07 09:51:28 status unpacked publicsuffix:all 20190415.1030-1
2021-05-07 09:51:28 status half-configured publicsuffix:all 20190415.1030-1
2021-05-07 09:51:28 status installed publicsuffix:all 20190415.1030-1
2021-05-07 09:51:28 configure libreadline7:amd64 7.0-5 <none>
2021-05-07 09:51:28 status unpacked libreadline7:amd64 7.0-5
2021-05-07 09:51:28 status half-configured libreadline7:amd64 7.0-5
2021-05-07 09:51:28 status installed libreadline7:amd64 7.0-5
2021-05-07 09:51:28 configure gnupg-utils:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:28 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:28 status half-configured gnupg-utils:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:28 status installed gnupg-utils:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:28 configure pinentry-curses:amd64 1.1.0-2 <none>
2021-05-07 09:51:28 status unpacked pinentry-curses:amd64 1.1.0-2
2021-05-07 09:51:28 status half-configured pinentry-curses:amd64 1.1.0-2
2021-05-07 09:51:28 status installed pinentry-curses:amd64 1.1.0-2
2021-05-07 09:51:28 configure wget:amd64 1.20.1-1.1 <none>
2021-05-07 09:51:28 status unpacked wget:amd64 1.20.1-1.1
2021-05-07 09:51:28 status half-configured wget:amd64 1.20.1-1.1
2021-05-07 09:51:28 status installed wget:amd64 1.20.1-1.1
2021-05-07 09:51:28 configure libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6 <none>
2021-05-07 09:51:28 status unpacked libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 status half-configured libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 status installed libldap-2.4-2:amd64 2.4.47+dfsg-3+deb10u6
2021-05-07 09:51:28 configure ca-certificates:all 20200601~deb10u2 <none>
2021-05-07 09:51:28 status unpacked ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:28 status half-configured ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:30 status installed ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:30 status triggers-pending ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:30 configure gpgconf:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpgconf:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpgconf:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpgconf:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gpg:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpg:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpg:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpg:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gpg-agent:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpg-agent:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpg-agent:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpg-agent:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gpgsm:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpgsm:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpgsm:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpgsm:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure dirmngr:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked dirmngr:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured dirmngr:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed dirmngr:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gpg-wks-server:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpg-wks-server:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gpg-wks-client:amd64 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gpg-wks-client:amd64 2.2.12-1+deb10u1
2021-05-07 09:51:30 configure gnupg:all 2.2.12-1+deb10u1 <none>
2021-05-07 09:51:30 status unpacked gnupg:all 2.2.12-1+deb10u1
2021-05-07 09:51:30 status half-configured gnupg:all 2.2.12-1+deb10u1
2021-05-07 09:51:30 status installed gnupg:all 2.2.12-1+deb10u1
2021-05-07 09:51:30 trigproc libc-bin:amd64 2.28-10 <none>
2021-05-07 09:51:30 status half-configured libc-bin:amd64 2.28-10
2021-05-07 09:51:30 status installed libc-bin:amd64 2.28-10
2021-05-07 09:51:30 trigproc ca-certificates:all 20200601~deb10u2 <none>
2021-05-07 09:51:30 status half-configured ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:31 status installed ca-certificates:all 20200601~deb10u2
2021-05-07 09:51:39 startup archives unpack
2021-05-07 09:51:39 upgrade base-files:amd64 10.3+deb10u6 10.3+deb10u9
2021-05-07 09:51:39 status half-configured base-files:amd64 10.3+deb10u6
2021-05-07 09:51:39 status unpacked base-files:amd64 10.3+deb10u6
2021-05-07 09:51:39 status half-installed base-files:amd64 10.3+deb10u6
2021-05-07 09:51:40 status unpacked base-files:amd64 10.3+deb10u9
2021-05-07 09:51:40 startup packages configure
2021-05-07 09:51:40 configure base-files:amd64 10.3+deb10u9 <none>
2021-05-07 09:51:40 status unpacked base-files:amd64 10.3+deb10u9
2021-05-07 09:51:40 status half-configured base-files:amd64 10.3+deb10u9
2021-05-07 09:51:40 status installed base-files:amd64 10.3+deb10u9
2021-05-07 09:51:40 startup archives unpack
2021-05-07 09:51:40 upgrade libsystemd0:amd64 241-7~deb10u4 241-7~deb10u7
2021-05-07 09:51:40 status triggers-pending libc-bin:amd64 2.28-10
2021-05-07 09:51:40 status half-configured libsystemd0:amd64 241-7~deb10u4
2021-05-07 09:51:40 status unpacked libsystemd0:amd64 241-7~deb10u4
2021-05-07 09:51:40 status half-installed libsystemd0:amd64 241-7~deb10u4
2021-05-07 09:51:40 status unpacked libsystemd0:amd64 241-7~deb10u7
2021-05-07 09:51:40 startup packages configure
2021-05-07 09:51:40 configure libsystemd0:amd64 241-7~deb10u7 <none>
2021-05-07 09:51:40 status unpacked libsystemd0:amd64 241-7~deb10u7
2021-05-07 09:51:40 status half-configured libsystemd0:amd64 241-7~deb10u7
2021-05-07 09:51:40 status installed libsystemd0:amd64 241-7~deb10u7
2021-05-07 09:51:40 startup archives unpack
2021-05-07 09:51:40 upgrade libudev1:amd64 241-7~deb10u4 241-7~deb10u7
2021-05-07 09:51:40 status half-configured libudev1:amd64 241-7~deb10u4
2021-05-07 09:51:40 status unpacked libudev1:amd64 241-7~deb10u4
2021-05-07 09:51:40 status half-installed libudev1:amd64 241-7~deb10u4
2021-05-07 09:51:40 status unpacked libudev1:amd64 241-7~deb10u7
2021-05-07 09:51:40 startup packages configure
2021-05-07 09:51:40 configure libudev1:amd64 241-7~deb10u7 <none>
2021-05-07 09:51:40 status unpacked libudev1:amd64 241-7~deb10u7
2021-05-07 09:51:40 status half-configured libudev1:amd64 241-7~deb10u7
2021-05-07 09:51:40 status installed libudev1:amd64 241-7~deb10u7
2021-05-07 09:51:40 startup archives unpack
2021-05-07 09:51:40 upgrade libzstd1:amd64 1.3.8+dfsg-3 1.3.8+dfsg-3+deb10u2
2021-05-07 09:51:40 status half-configured libzstd1:amd64 1.3.8+dfsg-3
2021-05-07 09:51:40 status unpacked libzstd1:amd64 1.3.8+dfsg-3
2021-05-07 09:51:40 status half-installed libzstd1:amd64 1.3.8+dfsg-3
2021-05-07 09:51:40 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-05-07 09:51:40 startup packages configure
2021-05-07 09:51:40 configure libzstd1:amd64 1.3.8+dfsg-3+deb10u2 <none>
2021-05-07 09:51:40 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-05-07 09:51:40 status half-configured libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-05-07 09:51:40 status installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-05-07 09:51:40 startup archives unpack
2021-05-07 09:51:40 upgrade libapt-pkg5.0:amd64 1.8.2.1 1.8.2.3
2021-05-07 09:51:40 status half-configured libapt-pkg5.0:amd64 1.8.2.1
2021-05-07 09:51:40 status unpacked libapt-pkg5.0:amd64 1.8.2.1
